Year,Meningitis (deaths),Lower respiratory infections (deaths),Intestinal infectious diseases (deaths),Protein-energy malnutrition (deaths),Cardiovascular diseases (deaths),Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers (deaths),Parkinson disease (deaths),Fire (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Diabetes (deaths),Poisonings (deaths)
2003,65.69519541,2708.437602,0.634954402,2.84255692,48027.36966,6685.417246,2770.327387,3417.489835,1264.53405,2659.363958,81.43134306,27553.7287,930.5361788,117.7537265,367.8372202,122.1575533,20.77492098,318.4362918,116.1716423,1913.543355,7.775410022,232.1344232,31.31698634,7.664954291,24.27875839,7.293555682,422.5937634,949.4641465,37.5353656
2004,63.78501211,2785.821418,0.638289192,2.721636498,48068.41561,6822.094431,2827.509435,3585.632707,1261.628415,2687.340194,89.97348601,28330.90939,970.7679928,119.582065,375.0196508,124.6608839,16.35177821,341.5949825,118.1098525,1934.153942,9.651636901,228.3136918,32.29917343,8.598882681,23.28809405,6.572597197,433.1742859,1036.278714,36.22693383
2005,63.67043193,2798.1805,0.64277415,2.549326987,47102.23099,6916.420196,2846.983685,3779.519271,1259.967289,2719.038503,98.00419022,28479.19313,1003.243292,119.1905824,368.0463652,128.1102859,14.08094852,359.6635282,124.0284566,1891.830617,6.917697843,218.4186239,32.92603935,9.57266502,23.68052662,6.384577151,442.0111955,1086.302106,34.92125287
2006,62.58166099,2694.782571,0.631512063,2.312168726,45938.40778,7059.366513,2814.744772,4062.660467,1255.042887,2755.15184,105.376342,28345.25801,1032.751896,115.4908022,357.7320861,127.573519,10.28647865,349.6953402,130.4187838,1809.678518,7.504253292,208.5900439,34.14182018,10.69583279,24.46428112,5.807489538,438.7501649,1119.952786,33.00614378
2007,61.64198589,2592.509764,0.628815256,2.068002654,47355.27234,7394.515831,2816.23711,4648.305452,1263.390692,2845.932146,120.5907888,29334.71248,1104.416286,233.5510077,388.9137056,141.1256481,22.82846824,352.6271742,155.7579605,1824.958424,10.46650396,199.847795,37.11791938,12.49843312,51.97779057,5.478417373,456.760947,1170.463063,33.51719544
2008,60.54812711,2712.598734,0.622184082,2.116366263,46249.24413,7676.370531,2856.878995,4763.5457,1254.973445,2887.641375,122.4213884,29396.93039,1145.174673,133.5296901,386.8222298,146.6091328,12.15024315,325.5454681,152.5952856,1723.045598,5.284299407,180.6362775,37.03687125,14.0248297,26.53923411,5.43972223,463.5630098,1150.709634,31.59606643
2009,56.18855,2495.2522,0.624340537,1.841644104,45396.06501,7766.202626,2629.769573,5120.635864,1229.533564,2901.433223,132.4114861,28984.86614,1163.28937,143.366378,394.8452813,153.9421286,21.02182389,321.0260409,167.8431011,1668.917971,12.78057388,189.2724557,37.38702695,15.82511328,26.21830856,5.053931423,481.3201925,1090.719289,32.3217428
2010,53.79361202,2537.293258,0.627993152,1.791510371,45379.96233,8203.627858,2619.279117,5399.303838,1219.027361,2978.445692,137.8449828,28819.72559,1201.585323,147.8841529,393.5200763,153.13682,23.07127212,286.8081992,173.8391627,1543.477639,13.88480203,192.5248038,37.75279988,18.2255298,27.64238528,5.081283275,485.9448897,1076.025276,31.05120655
2011,51.83046855,2707.254421,0.635204871,1.793671644,46631.82253,8851.608325,2714.221722,5818.567314,1243.762227,3125.148066,142.2855884,29572.30882,1273.143509,152.9963407,398.1538827,156.1376085,23.62584863,262.1287104,186.0573918,1468.104047,11.88259617,169.4484332,38.9395239,21.3470062,28.67789669,5.317057151,512.1417352,1106.169031,29.95537945
2012,50.21792799,2936.621392,0.647495865,1.817392934,47852.94992,9457.315275,2879.819557,6047.097709,1257.242963,3250.536727,138.7789955,30311.67387,1338.915641,156.5121535,403.5352793,154.2795387,39.78406564,242.4080617,189.147662,1387.760513,9.502102314,151.8873012,39.80217606,25.18563773,35.95923575,5.681889542,533.4769692,1137.207448,28.4631639
2013,45.9495767,3166.712995,0.650584476,1.832646769,46274.92933,9806.459336,2973.233287,5867.287383,1246.016846,3304.661411,120.6715752,29842.82517,1342.421115,146.9147783,383.0565751,142.9042898,45.34482706,212.2795463,169.6706036,1266.330356,7.362921403,160.5209469,38.60729936,29.06221475,29.48263342,5.921524036,526.3645963,1122.772264,26.2800153
2014,41.78278897,3850.500841,0.662303808,1.973138397,45707.92087,10223.47546,3301.31296,5650.981607,1243.932991,3371.536236,87.34724637,30027.88859,1368.101055,131.8485193,370.8814698,138.6288667,53.66689133,200.0759308,148.9737797,1224.425154,7.45325733,170.0868578,39.74887158,35.87130591,29.10019743,6.791148654,534.3157386,1098.780022,24.12743613
2015,40.93698502,4275.65211,0.671065289,2.041467331,47023.75934,10603.9003,3548.731922,5827.671959,1251.690928,3428.265802,76.75935457,30643.3573,1416.957563,136.3194735,370.99295,134.9152927,50.84692205,206.5840094,142.9774334,1239.451741,7.205860134,170.3908972,42.65623782,38.98149936,31.45186323,7.583283879,540.9301218,1124.666067,23.28391188
2016,43.6525276,4201.190644,0.686734963,2.14674009,49203.52525,11049.61598,3536.914434,5942.223909,1286.146906,3510.99047,83.28526617,30951.75889,1442.053911,140.2315751,364.7972861,132.4697023,32.96036803,199.9082183,148.2901662,1226.835471,8.342158769,172.6591863,40.89670761,36.06008258,31.57869902,7.493650619,523.8412849,1125.194596,24.42701777
2017,44.04184284,4268.945592,0.656324,2.246008818,50895.15061,11488.94999,3581.580572,6068.800571,1307.961401,3579.384556,83.44167773,31245.2353,1459.712859,142.0303776,358.9625904,130.1488667,29.57450181,197.4605958,149.3672396,1221.231242,8.1773633,153.7608341,40.58847483,35.14017306,31.98325777,7.659512691,517.5165387,1131.627034,24.79069121
